"﻿縣市別","村里","納稅單位(戶)","合計","營利所得","執行業務所得","薪資所得","利息所得","租賃及權利金","財產交易所得","機會中獎所得","股利所得","退職所得","其他所得","稿費所得","申報大於歸戶","薪資收入","稿費收入"
"新北市樹林區","三多里","1214","712127","21238","16718","458927","19641","31646","777","2117","147656","0","7803","0","5604","730968","484"
"新北市樹林區","東山里","961","777345","32370","7442","374602","19709","29934","1541","1120","299969","253","10083","64","258","588845","687"
"新北市樹林區","樂山里","580","404719","13556","8641","285666","16615","5462","923","656","64214","6","6953","106","1922","423168","549"
"新北市樹林區","東園里","448","287414","11544","5702","171488","12090","25799","7403","925","42680","0","5041","0","4742","265354","140"
"新北市樹林區","西園里","500","286050","10345","4159","195831","8710","12335","810","344","50522","0","1583","0","1412","305224","103"
"新北市樹林區","南園里","5223","6647897","77851","147172","4613308","160674","153231","38574","13829","1252670","11746","151460","1601","25783","5876857","11726"
"新北市樹林區","北園里","632","363844","12557","1917","240061","14150","20175","1124","618","63347","0","7158","0","2737","380849","49"
"新北市樹林區","柑園里","3406","4586293","60483","94269","3003382","137151","113043","27532","5685","977151","16774","113333","1305","36186","3812150","8975"
"新北市樹林區","樹南里","1327","935959","22316","18525","682353","29842","22806","1070","3348","144945","835","9107","0","812","987355","562"
"新北市樹林區","樹德里","1091","951424","72225","21877","575748","34798","18888","1154","2091","209953","22","9638","994","4035","815939","2753"
"新北市樹林區","樹人里","963","778782","15942","13229","516228","28716","12530","1552","946","173028","497","11708","50","4355","738619","740"
"新北市樹林區","保安里","1868","1311416","27171","27638","942836","44960","31159","1102","2173","196426","977","22828","956","13192","1357135","2579"
"新北市樹林區","三福里","1098","669331","9708","6673","495223","20689","21994","965","1933","96974","59","14014","0","1099","749661","174"
"新北市樹林區","三興里","1164","620905","22849","17038","464248","16068","11743","1112","1254","70893","0","11454","188","4058","730829","611"
"新北市樹林區","大同里","1186","813364","11316","20507","607677","27242","15707","3066","1731","110973","510","11465","445","2727","885697","1448"
"新北市樹林區","彭福里","1685","1226006","21267","17682","947328","34623","25972","1300","1952","143444","138","26295","379","5627","1359220","1358"
"新北市樹林區","東陽里","1857","1184167","22888","21654","919352","32689","16148","1471","2296","149614","0","14100","353","3603","1371399","1876"
"新北市樹林區","東昇里","1658","1170516","19660","33322","834313","32005","29248","3723","1799","196621","808","16990","19","2008","1227845","791"
"新北市樹林區","和平里","1155","759410","23647","18668","515895","24897","21491","1160","1333","133487","26","16411","264","2131","772446","1446"
"新北市樹林區","圳福里","1279","807307","22625","20196","600350","20182","20210","1756","2074","105428","11","9838","0","4636","898268","872"
"新北市樹林區","圳安里","1171","680153","13848","9361","487845","18324","22882","1231","1212","113859","35","10208","0","1347","765510","417"
"新北市樹林區","樹興里","1093","766169","14576","17662","574078","26766","18838","1357","1364","93295","0","14753","84","3397","826097","1147"
"新北市樹林區","彭興里","1681","910108","20177","20002","715953","21927","9232","1395","2146","104002","1","12407","186","2678","1108366","1408"
"新北市樹林區","文林里","1528","1060556","18217","33559","802076","30824","12520","1024","2025","143766","1707","12703","3","2132","1168495","723"
"新北市樹林區","光興里","1196","671305","23832","14030","509331","17329","11709","1305","1139","81284","1085","9853","0","407","787069","456"
"新北市樹林區","金寮里","1293","836404","20738","17838","600757","25266","25268","2115","1632","130794","1","8276","0","3718","909914","276"
"新北市樹林區","中山里","1601","1077384","25955","21652","808715","31281","21460","1686","1697","143468","48","16898","51","4474","1196602","763"
"新北市樹林區","山佳里","1743","1084705","37052","26826","813113","25549","29590","2430","1605","128620","216","12029","389","7286","1239361","1134"
"新北市樹林區","育英里","1068","900039","10958","29862","603706","35075","31468","3121","1017","161706","787","13781","0","8557","835095","1101"
"新北市樹林區","樹福里","1211","1375441","19219","27048","782769","53604","61744","3580","1264","379170","1550","40564","119","4810","1047009","1396"
"新北市樹林區","中華里","1082","701246","7438","12838","569719","16830","8221","1957","1297","70581","40","10026","195","2105","836851","1105"
"新北市樹林區","太順里","802","428721","8507","4136","344166","10728","3761","252","599","48996","1445","5383","2","748","538598","297"
"新北市樹林區","圳民里","872","558310","17057","10940","383225","17945","22723","335","831","96460","0","6961","0","1832","583186","148"
"新北市樹林區","圳生里","540","316461","10755","2313","171839","14715","27932","660","496","85184","0","1707","0","860","279652","135"
"新北市樹林區","三龍里","749","526790","15331","10529","286417","16001","27942","1629","870","161241","83","6034","1","713","447247","544"
"新北市樹林區","其他","8","4789","0","869","3342","234","68","0","6","219","0","50","0","0","4743","0"
"新北市樹林區","合計","53948","41919023","902844","878568","29094066","1273646","1145068","132649","75743","7454149","48711","714742","8909","189929","41614397","55670"
"新北市中和區","中原里","3548","5063669","70282","134923","3393176","129956","138685","48494","7352","888559","7889","218530","1944","23880","4235655","9086"
"新北市中和區","平河里","3063","2580024","46810","51223","1939523","68917","55607","8964","4705","340900","1432","55267","2260","4417","2668167","6771"
"新北市中和區","力行里","2104","1942565","21210","44963","1450499","65445","30444","8691","4220","279975","5029","25594","43","6452","1936221","2441"
"新北市中和區","枋寮里","1204","1029147","14824","19502","751785","37913","27626","2417","1398","146770","220","18635","272","7783","1012449","1833"
"新北市中和區","廟美里","1399","1114917","10914","26004","740820","39810","39962","3595","1953","230187","907","17799","2051","914","1044889","4423"
"新北市中和區","瓦磘里","1779","1586756","16520","43512","1238473","48277","25176","2252","4762","172441","998","23787","556","10001","1645836","4085"
"新北市中和區","積穗里","2752","2548562","26586","50802","1845148","76848","84170","12720","3503","386916","828","51845","360","8837","2491260","4055"
"新北市中和區","瑞穗里","771","660786","10137","17805","485087","20584","14587","4919","1068","86593","9","14875","124","4999","660759","1096"
"新北市中和區","灰磘里","195","147839","16605","5227","97344","3959","4031","229","232","17883","20","1744","0","565","140989","5"
"新北市中和區","錦和里","1712","1413325","33970","32009","984818","43392","41131","1514","2531","244152","432","27300","399","1677","1383710","3378"
"新北市中和區","內南里","1404","930132","22096","13831","676141","30709","16083","662","1785","154749","1524","8595","0","3957","989851","773"
"新北市中和區","外南里","1426","1091712","25222","22412","845416","31133","16272","1489","2036","124172","1526","19815","315","1904","1161491","1723"
"新北市中和區","頂南里","893","693644","10422","10882","495108","24306","7096","449","1225","130224","2552","9992","81","1308","693951","693"
"新北市中和區","橫路里","85","43345","1358","1715","28791","1437","4125","0","35","5560","0","166","0","158","44641","129"
"新北市中和區","連和里","947","905339","11779","17279","644639","32597","36176","10579","1507","127495","913","17103","550","4721","845999","2192"
"新北市中和區","漳和里","1319","1348698","20516","31582","916832","60950","31250","6247","1473","249173","140","24408","450","5677","1209521","2938"
"新北市中和區","秀山里","1409","1233284","17595","17059","879638","38560","9518","1939","1646","251431","127","14115","177","1479","1197149","1924"
"新北市中和區","員山里","2123","2018876","80644","28030","1479654","59420","44315","7982","3842","259649","826","44474","765","9276","1988397","3499"
"新北市中和區","安樂里","1285","1522769","14377","30049","919706","68654","33598","7727","1741","396358","960","33347","615","15637","1191678","2820"
"新北市中和區","壽德里","1373","1135771","17475","23380","871466","42160","17150","2458","1928","134852","2013","20523","178","2190","1196524","1672"
"新北市中和區","新南里","2910","2941899","27649","64664","2243880","104508","48106","14567","4145","374361","1499","48526","3281","6711","2919360","10651"
"新北市中和區","崇南里","1527","1310953","7782","37451","1045948","44247","14558","5169","3314","122487","3263","17246","3698","5789","1394636","7285"
"新北市中和區","東南里","1296","1108345","9708","19797","779423","53671","14354","1625","2133","142243","706","20658","201","63825","1053195","1553"
"新北市中和區","秀明里","1702","1488880","13286","42589","1058985","60246","29100","14057","2601","227971","3621","28438","219","7767","1412365","2981"
"新北市中和區","安平里","2200","2701165","16262","85078","1810103","116481","76177","21918","3336","492497","10880","31584","811","36039","2286886","6259"
"新北市中和區","景平里","2047","1927709","18808","41266","1423234","67905","31205","29914","3480","245821","2854","47214","486","15522","1870530","3555"
"新北市中和區","嘉穗里","893","722214","12639","19082","499482","21910","13614","742","1145","138100","0","12810","25","2664","699027","1009"
"新北市中和區","景安里","1636","1509762","18075","33902","1089295","54546","33505","7907","2434","217488","6836","23668","2793","19313","1446431","6217"
"新北市中和區","連城里","2168","1913653","17605","36237","1429058","76617","31016","7258","3700","252959","582","39117","1066","18438","1913498","4670"
"新北市中和區","福美里","1249","857365","14057","16145","642907","33631","12093","1583","5524","117124","190","13168","0","942","919235","545"
"新北市中和區","安和里","1073","1085946","8359","18023","804946","47452","16857","1810","1189","166678","1919","13705","85","4923","1040912","1199"
"新北市中和區","中安里","1656","1840485","16643","48530","1217891","88041","76692","6726","2049","326026","16266","29564","629","11426","1545361","3508"
"新北市中和區","泰安里","1081","833335","9662","16163","588515","33994","22014","3188","1857","126943","2029","12998","318","15652","818987","1918"
"新北市中和區","華南里","1552","1569118","26575","22917","1182423","52159","20177","3918","2772","206382","5380","34780","706","10930","1544647","4588"
"新北市中和區","秀峰里","1681","1281670","15777","23900","1002473","45064","12182","2643","2853","154766","1022","15748","0","5243","1374334","1680"
"新北市中和區","秀水里","1139","763917","15114","17603","582415","28213","10463","3473","1245","86197","0","12463","1096","5635","827479","4336"
"新北市中和區","景南里","962","737886","13131","27800","548777","28618","19786","1654","1217","78960","165","11854","340","5585","754223","1746"
"新北市中和區","復興里","1505","1166099","11619","49563","857327","43640","13037","1071","2374","140960","2333","18370","492","25314","1193681","1898"
"新北市中和區","和興里","1444","1365789","15317","23336","986917","48900","41106","2851","2218","186903","17993","34750","562","4936","1307705","3486"
"新北市中和區","南山里","1835","1968379","11212","18949","1439102","72720","21385","3095","2603","332625","7545","49707","462","8976","1862479","3449"
"新北市中和區","景新里","1091","826052","7104","19835","608082","32729","39832","1164","2320","88535","5858","15871","433","4291","842006","1869"
"新北市中和區","景福里","2007","1988035","20680","35958","1452795","71675","53433","7131","3946","291774","4980","33450","371","11842","1891294","3396"
"新北市中和區","清穗里","920","671062","13104","11185","514578","17935","10383","1139","1447","86618","0","14054","0","618","725046","433"
"新北市中和區","佳和里","1579","1407230","17466","27979","979171","53961","27242","2109","2415","240333","3657","40406","1810","10682","1322839","4169"
"新北市中和區","德穗里","1408","1193273","15116","20954","875424","42901","22461","592","2412","190487","27","19200","202","3497","1190971","1158"
"新北市中和區","嘉新里","1196","795531","18978","15775","606391","23417","9958","595","1200","104671","3858","8904","527","1257","885874","1810"
"新北市中和區","建和里","1046","770741","10310","9529","595928","31942","13620","1101","1416","90755","951","12639","0","2550","832491","807"
"新北市中和區","仁和里","1128","759139","14306","19831","565183","22951","15287","1551","1620","91747","0","20962","795","4906","814729","2580"
"新北市中和區","秀景里","2102","1968495","22187","60618","1444449","70187","25479","5326","3310","299165","1058","32572","1127","3018","1914815","4389"
"新北市中和區","中正里","1111","743309","14630","11839","556276","25693","15695","1017","1537","103667","98","9210","44","3603","804109","890"
"新北市中和區","福善里","1432","1101339","15290","24111","803671","38219","24952","2121","2302","157630","4415","22272","158","6197","1114232","1698"
"新北市中和區","福真里","1241","933643","14822","27257","681631","29103","19758","3516","1772","139411","2032","11449","91","2801","957255","1062"
